weaponDetailId,WEAPON_ID,WEAPON_TYPE_ID,MANUFACTURE_DETAILS_MAKE,MANUFACTURE_DETAILS_MODEL,MANUFACTURE_DETAILS_SERIAL_NO,BARREL_QUANTITY,BARREL_UNIT,BARREL_VALUE,CALIBRE,MAG_CAP,OVERALL_LENGTH_QUANTITY,OVERALL_LENGTH_UNIT,OVERALL_LENGTH_VALUE,IS_CORRECT,CHANGES,DATE_RETURNED,DETAILS,QUANTITY,IS_MARKED_FOR_TRANSFER,DB_INSERT_DATE,DB_UPDATE_DATE,DB_UPDATE_AGENT,DB_UPDATE_CASE_ID,WEAPON_REGISTRATION_NUMBER,DB_UPDATE_PC_NUMBER,DB_UPDATE_IP_ADDRESS,DB_UPDATE_SESSION_ID,CATEGORY_CHOICE_CODE,ACTION_CHOICE_CODE,TYPE_CHOICE_CODE,DESCRIPTION_CHOICE_CODE
1713706,58924364,1,ADLER,B-230,19AU-02550,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,49:07.9,32:15.7,4038793,14083425,10646851,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
1724573,NULL,1,NULL,NULL,NULL,1,NULL,125,9mm,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,37:56.4,55:18.8,1246582,12586510,NULL,10.46.158.88,10.46.158.88,696C2EE835BBCEA68CE6F77DE013970E.pk23_1569_K1,NULL,SAU,CAH,A31
1726076,NULL,1,NULL,NULL,,1,NULL,,0.223,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,54:24.8,34:30.8,4010362,12602554,NULL,10.46.158.88,10.46.158.88,48EF53D1A86BBC44A6A4C57723BA7A8A.pk23_543_K1,NULL,BLT,CAB,A16
1727763,58923823,1,ADLER,B-220,19AU-02009,1,NULL,NULL,12G,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,26:58.5,05:20.7,4038793,14083410,10646310,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
1730254,31344484,1,HARRINGTON & RICHARDSON,SB,A423828,1,NULL,,12G,1,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,52:08.6,40:48.1,4034502,14065749,1705775,10.46.158.88,10.46.158.88,50EF51F401EEBD70A2939B2A9596A0EA.pk43_536_K1,NULL,BRK,CAA,A07
1731420,31429213,1,SAVAGE,24B-DL,14TZ,1,NULL,NULL,.22/20G,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,55:46.7,02:38.1,4038793,14083444,5099517,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BRK,CAA,A25
1731422,32016426,1,BENTLEY,1450,48668,1,NULL,NULL,12G,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,08:57.7,07:51.6,4038793,14083446,7796080,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BRK,CAA,A07
1731465,31268004,1,ASFA,MODEL UNKNOWN,27838,1,NULL,NULL,8MM,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,41:37.1,03:47.4,4038793,14083445,2380251,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAB,A16
1745565,NULL,1,NULL,NULL,NULL,1,NULL,,0.308,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,32:49.1,57:33.6,1246582,12712451,NULL,10.46.158.88,10.46.158.88,696C2EE835BBCEA68CE6F77DE013970E.pk23_1569_K1,NULL,BLT,CAB,A16
1749655,NULL,1,NULL,NULL,NULL,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,50:44.2,09:38.6,4028591,12757218,NULL,10.46.158.88,10.46.158.88,91C1980D3019444DB26D0D8FC32EC7BD.pk13_150_K1,NULL,LVR,CAB,A08
1762534,NULL,1,NULL,NULL,NULL,1,NULL,,.300WINMAG,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,51:51.4,33:21.4,1246582,12850920,NULL,10.46.158.88,10.46.158.88,696C2EE835BBCEA68CE6F77DE013970E.pk23_1569_K1,NULL,BLT,CAB,A16
1762678,NULL,1,NULL,NULL,NULL,1,NULL,,.22/250,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,04:53.3,46:19.0,1246582,12851914,NULL,10.46.158.88,10.46.158.88,FB8EA898D02F1010A89DC0298526D98E.pk33_454_K1,NULL,BLT,CAB,A16
1762685,NULL,1,NULL,NULL,NULL,1,NULL,,12G,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,52:14.4,13:23.5,1246582,12851922,NULL,10.46.158.88,10.46.158.88,FB8EA898D02F1010A89DC0298526D98E.pk33_454_K1,NULL,BRK,CAA,A07
1766787,58874233,1,RUGER,PRECISION,840-52380,1,NULL,,0.22,15,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,46:16.3,14:37.7,4038793,14083419,10598361,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A91
1766788,58908116,1,GAMO,REPLAY,041C74561518,1,NULL,,0.177,1,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,53:50.9,09:24.6,4038793,14083413,10630846,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,AIR,CAA,A04
1768778,NULL,1,NULL,NULL,NULL,1,NULL,NULL,0.223,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,59:59.6,05:04.6,BatchSession,12922757,NULL,10.46.202.173,10.46.202.173,D77C42BEB2A529C348C518C165436CD0.pk24_K1,NULL,BLT,CAB,A16
1768786,NULL,1,NULL,NULL,NULL,1,NULL,NULL,12G,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,40:24.8,03:31.4,BatchSession,12923404,NULL,10.46.202.173,10.46.202.173,2BAC54D86F07FEF96FC6C0D322C1D0F8.pk24_K1,NULL,BRK,CAA,A07
1772387,31682456,1,PARKER HALE,MODEL UNKNOWN,C649,1,NULL,,0.303,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,06:58.6,34:15.3,4038793,14080831,5433126,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAB,A16
1772389,31770038,1,ROSSI,SA,25940,1,NULL,,0.41,2,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,18:36.5,33:50.5,4038793,14066615,7669544,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BRK,CAA,A07
1772437,31622498,1,PARKER HALE,UNKNOWN,17706D,1,NULL,,.22/250,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,13:33.7,46:25.2,4038793,14066620,619616,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAB,A16
1773477,NULL,1,STIRLING,15A,9013481,1,NULL,,0.22,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,03:52.4,30:00.7,4010362,12955066,7013943,10.46.158.88,10.46.158.88,48EF53D1A86BBC44A6A4C57723BA7A8A.pk23_543_K1,NULL,BLT,CAA,A91
1775115,31817838,1,HIGH STANDARD,TOURNAMENT,1404093,-2147483648,mm,140,0.22,10,-2147483648,mm,260,NULL,NULL,NULL,NULL,NULL,0,25:27.4,45:21.8,4036691,12963794,811826,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,SAU,CAH,A47
1777195,58926559,1,BERETTA,A400,XA095292,1,NULL,,12G,2,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,53:52.8,32:48.0,4038793,14080809,10648851,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,SAU,CAC,A19
1777296,58833959,1,HOWA,1500,B415493,1,NULL,,.300WINMAG,3,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,02:03.3,40:29.8,4037810,14082880,10558597,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAB,A16
1777693,58934952,1,FABARM,EURALFA LUX,187264,1,NULL,,12G,2,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,24:00.9,25:21.0,4037810,14080577,10657138,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BRK,CAA,A07
1777953,31214105,1,NORINCO,JW 15,9415846,1,NULL,,0.22,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,16:15.8,13:03.3,4038793,14084698,8292664,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A91
1780425,58926856,1,STIRLING,14,A649231,1,NULL,,22LR,10,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,28:48.8,25:08.5,4038793,14080805,10649167,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A91
19116306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30:57.4,NULL,NULL,NULL,1323270,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19116351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34:05.4,NULL,NULL,NULL,1323270,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19116573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56:07.5,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29298440,NULL,1,NULL,NULL,NULL,1,NULL,,.22LR,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,45:10.4,44:20.0,4010362,13033093,NULL,10.46.158.88,10.46.158.88,48EF53D1A86BBC44A6A4C57723BA7A8A.pk23_543_K1,NULL,REV,CAA,A91
29298902,58924346,1,ADLER,B-230,19AU-02532,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,42:40.0,08:41.2,4038793,14066632,10646833,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29298925,58923899,1,ADLER,B-220,19AU-02085,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,42:45.1,51:10.1,4038793,14083435,10646386,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29300396,58923867,1,ADLER,B-220,19AU-02053,1,NULL,NULL,12G,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,28:04.3,56:11.0,4038793,14083439,10646354,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29300932,58909670,1,REMINGTON,783,RA01018B,1,NULL,,.270WIN,4,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,14:50.1,26:11.3,1246582,14079981,10631929,10.46.158.88,10.46.158.88,3649CC21FA6457F50FC0C9A7D6FEA7BB.pk33_199_K1,NULL,BLT,CAB,A16
29301208,58924375,1,ADLER,B-230,19AU-02561,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,56:55.8,57:23.4,4038793,14066625,10646862,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29302209,58924404,1,ADLER,B-230,19AU-02590,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,49:40.1,57:38.8,4038793,14083404,10646891,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29303390,58903963,1,BRNO,2E,360884,1,NULL,,0.22,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,18:12.0,32:56.4,4037810,14083484,10626850,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAA,A91
29305369,58926722,1,DAISY,POWERLINE,0518220215028941H,1,NULL,,0.177,1,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,02:17.9,47:17.6,4037810,14080588,10649057,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,AIR,CAA,A04
29305965,58924185,1,ADLER,B-230,19AU-02371,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,17:20.9,58:09.0,4038793,14066626,10646672,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29306659,58924389,1,ADLER,B-230,19AU-02575,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,35:38.7,56:29.0,4038793,14083403,10646876,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29307020,58926313,1,SMITH & WESSON,627 V COMP,CTF4965,-2147483648,mm,127,.357MAG,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,41:47.5,54:38.2,4038793,14083438,10648292,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,REV,CAH,A31
29307630,58924221,1,ADLER,B-230,19AU-02407,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,16:34.2,10:00.8,4038793,14066634,10646708,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29308408,58874828,1,RUGER,AMERICAN,690247862,1,NULL,,0.223,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,25:12.2,37:43.2,4037810,14080549,10598956,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAB,A16
29309119,58905409,1,RUGER,PRECISION,840-64204,1,NULL,,0.22,15,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,09:36.5,02:57.3,4037810,14081445,10628300,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAA,A91
29311238,NULL,1,NULL,NULL,NULL,1,NULL,,177,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,07:42.2,30:15.8,4036691,13177303,NULL,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,BRK,CAA,A04
29311414,58924690,1,HATSAN,,67310,1,NULL,,0.41,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,55:45.4,49:56.2,4038793,14083434,10647127,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BRK,CAA,A07
29311415,58924689,1,HENRY ARMS CO.,H 001M,M078835H,1,NULL,,.22MAG,11,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,04:04.4,01:54.4,4038793,14083443,10647126,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,LVR,CAA,A91
29311435,NULL,1,NULL,NULL,NULL,1,NULL,,22LR,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,04:14.6,18:12.2,4036691,13177302,NULL,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,BLT,CAA,A91
29312049,31624144,1,CBC,122,A6743,1,NULL,,0.22,8,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,52:13.5,33:03.6,4034502,14065748,2758543,10.46.158.88,10.46.158.88,50EF51F401EEBD70A2939B2A9596A0EA.pk43_536_K1,NULL,BLT,CAA,A91
29312060,58366644,1,KIMBER,1911,KF23799,-2147483648,mm,127,.38SUPER,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,32:39.4,10:35.6,4037810,14080568,10127763,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,SAU,CAH,B03
29312405,NULL,1,NULL,NULL,NULL,1,NULL,,.22MAG,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,53:31.4,35:01.8,4036691,13183027,NULL,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,LVR,CAA,A91
29312550,58924406,1,ADLER,B-230,19AU-02592,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,39:05.0,04:23.6,4038793,14083409,10646893,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29312872,31272758,1,BRNO,CZ452-2E,730359,1,NULL,NULL,0.22,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,42:34.7,11:37.2,4037810,14083471,8932706,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAA,A91
29312934,58550734,1,STEYR MANNLICHER,PROHUNTER,3085661,1,NULL,NULL,0.223,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,28:35.2,36:40.7,4036691,13199367,10307721,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,BLT,CAB,A16
29313297,58876285,1,ANSCHUTZ,1710,3180355,1,NULL,NULL,0.22,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10:52.0,10:41.4,4037810,14082849,10600396,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAA,A91
29313299,32149548,1,SHANGHAI,61,NO FACTORY SERIAL NUMBER,1,NULL,NULL,0.177,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,22:52.8,11:50.9,4037810,14082850,4480796,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,AIR,CAA,A04
29313709,58856517,1,SAVAGE,A22R,N128195,1,NULL,,0.22,10,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,08:32.8,12:46.3,4038793,14080798,10580893,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,LVR,CAA,A91
29313743,58913009,1,BOITO,MIURA,J591468-19,1,NULL,,0.41,2,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,55:36.1,58:54.7,4038793,14083441,10635704,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BRK,CAA,A07
29313862,58527263,1,MARLIN,XT-22R,MM16658C,1,NULL,,0.22,7,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,38:11.4,38:14.9,4036691,13203115,10284800,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,BLT,CAA,A91
29313881,58923575,1,ADLER,B-220,19AU-01811,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,07:06.6,56:29.4,4038793,14080826,10646062,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAA,A07
29313893,58914816,1,HUGLU,,19C1616,1,NULL,,12G,2,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,56:46.6,13:24.1,4037810,14080571,10637503,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BRK,CAA,A07
29314670,58710372,1,HOWA,1500,B354454,1,NULL,,.308WIN,10,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,19:58.0,55:42.0,4038793,14083402,10436342,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAB,A16
29314871,NULL,1,NULL,NULL,NULL,1,NULL,,6.5 Creedm,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,32:24.1,39:56.9,4036691,13213664,NULL,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,BLT,CAB,A16
29316194,32132251,1,BSA,CF2,11P2343,1,NULL,NULL,0.243,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,43:13.9,47:46.3,4037810,14081434,3735192,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAB,A16
29316311,NULL,1,NULL,NULL,NULL,1,NULL,,0.223,NULL,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,32:25.8,42:29.6,4036691,13225419,NULL,10.46.158.88,10.46.158.88,64205B6A6E6C41A2D7D35BBBAB332BDF.pk43_544_K1,NULL,BLT,CAB,A16
29316406,31491652,1,ROSSI,MODEL UNKNOWN,K034678,1,NULL,NULL,.357MAG,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,28:33.2,48:35.3,4037810,14081435,1093112,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,LVR,CAB,A16
29316798,32146334,1,IVER JOHNSON,HERCULES,403,1,NULL,NULL,12G,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,01:52.1,15:03.8,4010362,13243094,7334495,10.46.158.88,10.46.158.88,B347073C1967926997F3CD64F5958C1F.pk13_186_K1,NULL,BRK,CAA,A07
29318474,58921957,1,MARLIN,XT22,RB28299A,1,NULL,,0.22,7,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,51:31.9,55:24.7,4037810,14081442,10644443,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAA,A91
29318839,58848895,1,DIANA,21,82113016,1,NULL,,0.177,1,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,31:03.4,56:10.7,4037810,14081443,10573219,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,AIR,CAA,A04
29319270,31414275,1,WINCHESTER,94,3418506,1,NULL,,30-30,7,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,19:36.6,03:59.5,4034502,14065755,297984,10.46.158.88,10.46.158.88,2188C8C068ABA0BDC3C5DBCEB916E6A8.pk43_537_K1,NULL,LVR,CAB,A16
29319271,31239509,1,SPORTCO,40,VD438,1,NULL,NULL,0.22,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,21:09.1,02:01.1,4034502,14065753,6904274,10.46.158.88,10.46.158.88,2188C8C068ABA0BDC3C5DBCEB916E6A8.pk43_537_K1,NULL,BLT,CAA,A91
29319272,32155837,1,STIRLING,1500,537883,1,NULL,NULL,.22MAG,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,22:47.1,03:06.9,4034502,14065754,2548556,10.46.158.88,10.46.158.88,2188C8C068ABA0BDC3C5DBCEB916E6A8.pk43_537_K1,NULL,BLT,CAA,A91
29319574,58931909,1,ADLER,B-230,19AU-03392,1,NULL,,12G,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,58:24.5,51:04.4,4037810,14083490,10654153,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BLT,CAA,A07
